D,NN_E_s0.05,Num_E_s0.05,NN_E_s0.10,Num_E_s0.10,NN_E_s0.15,Num_E_s0.15,NN_E_s0.20,Num_E_s0.20,NN_E_s0.25,Num_E_s0.25
2.00000000e+00,1.56792128e+00,1.55782041e+00,1.90510559e+00,1.91007793e+00,2.06359005e+00,2.06880793e+00,2.16196084e+00,2.17229907e+00,2.23133945e+00,2.23501351e+00
2.02000000e+00,1.53619719e+00,1.52728901e+00,1.86640728e+00,1.87261856e+00,2.02157712e+00,2.02815784e+00,2.11788344e+00,2.12954313e+00,2.18580794e+00,2.19097126e+00
2.04000000e+00,1.50516009e+00,1.49739239e+00,1.82857442e+00,1.83594526e+00,1.98052406e+00,1.98836636e+00,2.07482386e+00,2.08769471e+00,2.14132643e+00,2.14786683e+00
2.06000000e+00,1.47479928e+00,1.46811538e+00,1.79158211e+00,1.80003881e+00,1.94039154e+00,1.94941225e+00,2.03274012e+00,2.04673117e+00,2.09786749e+00,2.10567668e+00
2.08000000e+00,1.44509625e+00,1.43944323e+00,1.75541472e+00,1.76488061e+00,1.90117311e+00,1.91127493e+00,1.99162138e+00,2.00663060e+00,2.05540371e+00,2.06437805e+00
2.10000000e+00,1.41603708e+00,1.41136164e+00,1.72005451e+00,1.73045259e+00,1.86283207e+00,1.87393448e+00,1.95143688e+00,1.96737173e+00,2.01391363e+00,2.02394887e+00
2.12000000e+00,1.38760471e+00,1.38385674e+00,1.68547344e+00,1.69673726e+00,1.82536066e+00,1.83737156e+00,1.91215742e+00,1.92893401e+00,1.97336257e+00,1.98436777e+00
2.14000000e+00,1.35978854e+00,1.35691506e+00,1.65166807e+00,1.66371764e+00,1.78872049e+00,1.80156745e+00,1.87376535e+00,1.89129746e+00,1.93373275e+00,1.94561403e+00
2.16000000e+00,1.33256912e+00,1.33052352e+00,1.61859667e+00,1.63137727e+00,1.75290024e+00,1.76650397e+00,1.83623624e+00,1.85444276e+00,1.89499962e+00,1.90766759e+00
2.18000000e+00,1.30593693e+00,1.30466942e+00,1.58625877e+00,1.59970015e+00,1.71787822e+00,1.73216349e+00,1.79954982e+00,1.81835114e+00,1.85714030e+00,1.87050896e+00
2.20000000e+00,1.27987278e+00,1.27934042e+00,1.55462861e+00,1.56867076e+00,1.68363321e+00,1.69852891e+00,1.76368058e+00,1.78300442e+00,1.82012570e+00,1.83411928e+00
2.22000000e+00,1.25436985e+00,1.25452453e+00,1.52369308e+00,1.53827406e+00,1.65014517e+00,1.66558364e+00,1.72860694e+00,1.74838493e+00,1.78394222e+00,1.79848022e+00
2.24000000e+00,1.22940946e+00,1.23021010e+00,1.49342906e+00,1.50849539e+00,1.61739421e+00,1.63331155e+00,1.69431531e+00,1.71447554e+00,1.74855793e+00,1.76357402e+00
2.26000000e+00,1.20498395e+00,1.20638581e+00,1.46382439e+00,1.47932055e+00,1.58535862e+00,1.60169701e+00,1.66077769e+00,1.68125962e+00,1.71396399e+00,1.72938342e+00
2.28000000e+00,1.18107808e+00,1.18304063e+00,1.43486643e+00,1.45073573e+00,1.55403233e+00,1.57072480e+00,1.62797844e+00,1.64872102e+00,1.68013430e+00,1.69589169e+00
2.30000000e+00,1.15768003e+00,1.16016385e+00,1.40653300e+00,1.42272750e+00,1.52338731e+00,1.54038017e+00,1.59590173e+00,1.61684405e+00,1.64704716e+00,1.66308254e+00
2.32000000e+00,1.13477814e+00,1.13774506e+00,1.37880754e+00,1.39528282e+00,1.49340403e+00,1.51064878e+00,1.56452489e+00,1.58561348e+00,1.61468410e+00,1.63094021e+00
