D,Num_s0.05,New_s0.05,Num_s0.10,New_s0.10,Num_s0.15,New_s0.15,Num_s0.20,New_s0.20,Num_s0.25,New_s0.25
2.54000000e+00,9.18648344e-01,9.18870366e-01,1.12719161e+00,1.12453812e+00,1.22034946e+00,1.21921283e+00,1.28078469e+00,1.27722081e+00,1.31728674e+00,1.31778655e+00
2.56000000e+00,9.01006028e-01,9.02142400e-01,1.10561161e+00,1.10416690e+00,1.19699116e+00,1.19715207e+00,1.25626532e+00,1.25412692e+00,1.29206312e+00,1.29397411e+00
2.58000000e+00,8.83708681e-01,8.85749629e-01,1.08445430e+00,1.08420560e+00,1.17409158e+00,1.17553708e+00,1.23222855e+00,1.23150112e+00,1.26733670e+00,1.27064541e+00
2.60000000e+00,8.66749074e-01,8.69684482e-01,1.06371070e+00,1.06464484e+00,1.15164092e+00,1.15435758e+00,1.20866398e+00,1.20933253e+00,1.24309675e+00,1.24778919e+00
2.62000000e+00,8.50120152e-01,8.53939586e-01,1.04337207e+00,1.04547550e+00,1.12962960e+00,1.13360358e+00,1.18556150e+00,1.18761060e+00,1.21933280e+00,1.22539447e+00
2.64000000e+00,8.33815034e-01,8.38507758e-01,1.02342989e+00,1.02668869e+00,1.10804830e+00,1.11326534e+00,1.16291126e+00,1.16632505e+00,1.19603466e+00,1.20345059e+00
2.66000000e+00,8.17827002e-01,8.23382003e-01,1.00387583e+00,1.00827578e+00,1.08688795e+00,1.09333337e+00,1.14070364e+00,1.14546586e+00,1.17319241e+00,1.18194716e+00
2.68000000e+00,8.02149503e-01,8.08555503e-01,9.84701795e-01,9.90228333e-01,1.06613967e+00,1.07379845e+00,1.11892927e+00,1.12502330e+00,1.15079634e+00,1.16087408e+00
2.70000000e+00,7.86776138e-01,7.94021617e-01,9.65899861e-01,9.72538148e-01,1.04579482e+00,1.05465160e+00,1.09757901e+00,1.10498788e+00,1.12883703e+00,1.14022150e+00
2.72000000e+00,7.71700660e-01,7.79773871e-01,9.47462308e-01,9.55197237e-01,1.02584497e+00,1.03588407e+00,1.07664396e+00,1.08535037e+00,1.10730526e+00,1.11997986e+00
2.74000000e+00,7.56916971e-01,7.65805959e-01,9.29381603e-01,9.38197814e-01,1.00628190e+00,1.01748733e+00,1.05611543e+00,1.06610179e+00,1.08619207e+00,1.10013983e+00
