D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
1.12000000e+00,1.59979427e+00,1.56955219e+00,2.55748863e+00,2.55371622e+00,3.08756652e+00,3.11508376e+00,3.30991241e+00,3.32374866e+00,3.39170747e+00,3.38712787e+00
1.14000000e+00,1.58926780e+00,1.55951739e+00,2.53584965e+00,2.53285923e+00,3.05816641e+00,3.08429172e+00,3.27693800e+00,3.28735066e+00,3.35735169e+00,3.34814960e+00
1.16000000e+00,1.57873270e+00,1.54949227e+00,2.51441482e+00,2.51214468e+00,3.02919204e+00,3.05387132e+00,3.24450182e+00,3.25151118e+00,3.32357955e+00,3.30983986e+00
1.18000000e+00,1.56819215e+00,1.53947814e+00,2.49318207e+00,2.49157230e+00,3.00063175e+00,3.02381627e+00,3.21258682e+00,3.21621720e+00,3.29037179e+00,3.27218095e+00
1.20000000e+00,1.55764919e+00,1.52947623e+00,2.47214926e+00,2.47114179e+00,2.97247432e+00,2.99412044e+00,3.18117679e+00,3.18145619e+00,3.25771009e+00,3.23515591e+00
1.22000000e+00,1.54710672e+00,1.51948776e+00,2.45131422e+00,2.45085285e+00,2.94470901e+00,2.96477789e+00,3.15025627e+00,3.14721601e+00,3.22557703e+00,3.19874839e+00
1.24000000e+00,1.53656750e+00,1.50951387e+00,2.43067472e+00,2.43070511e+00,2.91732550e+00,2.93578280e+00,3.11981049e+00,3.11348499e+00,3.19395600e+00,3.16294268e+00
1.26000000e+00,1.52603417e+00,1.49955572e+00,2.41022851e+00,2.41069823e+00,2.89031384e+00,2.90712952e+00,3.08982538e+00,3.08025181e+00,3.16283122e+00,3.12772368e+00
1.28000000e+00,1.51550926e+00,1.48961438e+00,2.38997331e+00,2.39083180e+00,2.86366451e+00,2.87881255e+00,3.06028748e+00,3.04750557e+00,3.13218758e+00,3.09307681e+00
1.30000000e+00,1.50499516e+00,1.47969094e+00,2.36990685e+00,2.37110541e+00,2.83736834e+00,2.85082651e+00,3.03118392e+00,3.01523568e+00,3.10201070e+00,3.05898803e+00
1.32000000e+00,1.49449417e+00,1.46978640e+00,2.35002683e+00,2.35151864e+00,2.81141650e+00,2.82316616e+00,3.00250239e+00,2.98343194e+00,3.07228685e+00,3.02544383e+00
