D,p,source,u
8.60000000e-01,1.3308,PBE,1.79952843e+00
8.80000000e-01,0.2662,NN,5.55575132e-01
8.80000000e-01,0.2662,PBE,4.25846264e-01
8.80000000e-01,0.5324,NN,9.84115183e-01
8.80000000e-01,0.5324,PBE,1.07369977e+00
8.80000000e-01,0.7985,NN,1.29815567e+00
8.80000000e-01,0.7985,PBE,1.30208818e+00
8.80000000e-01,1.0647,NN,1.53835595e+00
8.80000000e-01,1.0647,PBE,1.48812871e+00
8.80000000e-01,1.3308,NN,1.72955596e+00
8.80000000e-01,1.3308,PBE,1.77542534e+00
9.00000000e-01,0.2662,NN,5.43544948e-01
9.00000000e-01,0.2662,PBE,4.16322064e-01
9.00000000e-01,0.5324,NN,9.66168463e-01
9.00000000e-01,0.5324,PBE,1.05471480e+00
9.00000000e-01,0.7985,NN,1.27737451e+00
9.00000000e-01,0.7985,PBE,1.28120560e+00
9.00000000e-01,1.0647,NN,1.51597428e+00
9.00000000e-01,1.0647,PBE,1.46604865e+00
9.00000000e-01,1.3308,NN,1.70613647e+00
9.00000000e-01,1.3308,PBE,1.75186546e+00
9.20000000e-01,0.2662,NN,5.31954706e-01
9.20000000e-01,0.2662,PBE,4.07167027e-01
9.20000000e-01,0.5324,NN,9.48755085e-01
9.20000000e-01,0.5324,PBE,1.03627005e+00
9.20000000e-01,0.7985,NN,1.25713563e+00
9.20000000e-01,0.7985,PBE,1.26086061e+00
9.20000000e-01,1.0647,NN,1.49413037e+00
9.20000000e-01,1.0647,PBE,1.44449927e+00
9.20000000e-01,1.3308,NN,1.68324769e+00
9.20000000e-01,1.3308,PBE,1.72882597e+00
9.40000000e-01,0.2662,NN,5.20780623e-01
9.40000000e-01,0.2662,PBE,3.98360028e-01
9.40000000e-01,0.5324,NN,9.31851447e-01
9.40000000e-01,0.5324,PBE,1.01834218e+00
9.40000000e-01,0.7985,NN,1.23741663e+00
9.40000000e-01,0.7985,PBE,1.24103091e+00
9.40000000e-01,1.0647,NN,1.47280121e+00
9.40000000e-01,1.0647,PBE,1.42345881e+00
9.40000000e-01,1.3308,NN,1.66086817e+00
9.40000000e-01,1.3308,PBE,1.70628554e+00
9.60000000e-01,0.2662,NN,5.10000527e-01
9.60000000e-01,0.2662,PBE,3.89881496e-01
9.60000000e-01,0.5324,NN,9.15434837e-01
9.60000000e-01,0.5324,PBE,1.00090925e+00
9.60000000e-01,0.7985,NN,1.21819532e+00
9.60000000e-01,0.7985,PBE,1.22169555e+00
9.60000000e-01,1.0647,NN,1.45196712e+00
9.60000000e-01,1.0647,PBE,1.40290686e+00
9.60000000e-01,1.3308,NN,1.63897872e+00
9.60000000e-01,1.3308,PBE,1.68422416e+00
9.80000000e-01,0.2662,NN,4.99594569e-01
9.80000000e-01,0.2662,PBE,3.81713280e-01
9.80000000e-01,0.5324,NN,8.99483442e-01
9.80000000e-01,0.5324,PBE,9.83950590e-01
9.80000000e-01,0.7985,NN,1.19945252e+00
9.80000000e-01,0.7985,PBE,1.20283482e+00
9.80000000e-01,1.0647,NN,1.43160796e+00
9.80000000e-01,1.0647,PBE,1.38282423e+00
9.80000000e-01,1.3308,NN,1.61755896e+00
9.80000000e-01,1.3308,PBE,1.66262305e+00
1.00000000e+00,0.2662,NN,4.89543617e-01
1.00000000e+00,0.2662,PBE,3.73838521e-01
1.00000000e+00,0.5324,NN,8.83977294e-01
1.00000000e+00,0.5324,PBE,9.67446730e-01
1.00000000e+00,0.7985,NN,1.18116748e+00
1.00000000e+00,0.7985,PBE,1.18443017e+00
1.00000000e+00,1.0647,NN,1.41170478e+00
1.00000000e+00,1.0647,PBE,1.36319287e+00
1.00000000e+00,1.3308,NN,1.59659147e+00
1.00000000e+00,1.3308,PBE,1.64146458e+00
1.02000000e+00,0.2662,NN,4.79829967e-01
1.02000000e+00,0.2662,PBE,3.66241545e-01
1.02000000e+00,0.5324,NN,8.68897200e-01
1.02000000e+00,0.5324,PBE,9.51379292e-01
1.02000000e+00,0.7985,NN,1.16332245e+00
1.02000000e+00,0.7985,PBE,1.16646407e+00
1.02000000e+00,1.0647,NN,1.39223969e+00
1.02000000e+00,1.0647,PBE,1.34399577e+00
1.02000000e+00,1.3308,NN,1.57605803e+00
1.02000000e+00,1.3308,PBE,1.62073212e+00
1.04000000e+00,0.2662,NN,4.70436633e-01
1.04000000e+00,0.2662,PBE,3.58907758e-01
1.04000000e+00,0.5324,NN,8.54225516e-01
1.04000000e+00,0.5324,PBE,9.35730917e-01
1.04000000e+00,0.7985,NN,1.14590144e+00
1.04000000e+00,0.7985,PBE,1.14892001e+00
1.04000000e+00,1.0647,NN,1.37319744e+00
1.04000000e+00,1.0647,PBE,1.32521688e+00
1.04000000e+00,1.3308,NN,1.55594254e+00
1.04000000e+00,1.3308,PBE,1.60041006e+00
1.06000000e+00,0.2662,NN,4.61348802e-01
1.06000000e+00,0.2662,PBE,3.51823562e-01
1.06000000e+00,0.5324,NN,8.39945614e-01
1.06000000e+00,0.5324,PBE,9.20485187e-01
1.06000000e+00,0.7985,NN,1.12888670e+00
1.06000000e+00,0.7985,PBE,1.13178235e+00
