D,NN_z1.93,NN_z3.87,NN_z5.80,NN_z7.74,NN_z9.66,PBE_z1.93,PBE_z3.87,PBE_z5.80,PBE_z7.74,PBE_z9.66
2.10000000e+00,1.07988930e+00,1.71362197e+00,2.00126028e+00,2.12149787e+00,2.16999698e+00,1.11054682e+00,1.69768790e+00,2.00102444e+00,2.12337431e+00,2.16735880e+00
2.12000000e+00,1.07118690e+00,1.69949830e+00,1.98445606e+00,2.10360289e+00,2.15154338e+00,1.10159028e+00,1.68361934e+00,1.98419364e+00,2.10538407e+00,2.14894140e+00
2.14000000e+00,1.06253242e+00,1.68548751e+00,1.96780348e+00,2.08587503e+00,2.13326740e+00,1.09268423e+00,1.66966316e+00,1.96751636e+00,2.08756612e+00,2.13070348e+00
2.16000000e+00,1.05392635e+00,1.67159009e+00,1.95130002e+00,2.06831241e+00,2.11516833e+00,1.08382885e+00,1.65581814e+00,1.95099026e+00,2.06991761e+00,2.11264202e+00
2.18000000e+00,1.04536879e+00,1.65780330e+00,1.93494451e+00,2.05091238e+00,2.09724164e+00,1.07502431e+00,1.64208308e+00,1.93461309e+00,2.05243578e+00,2.09475403e+00
2.20000000e+00,1.03685927e+00,1.64412653e+00,1.91873503e+00,2.03367233e+00,2.07948470e+00,1.06627074e+00,1.62845683e+00,1.91838266e+00,2.03511795e+00,2.07703667e+00
2.22000000e+00,1.02839863e+00,1.63055718e+00,1.90266740e+00,2.01658869e+00,2.06189537e+00,1.05756827e+00,1.61493823e+00,1.90229683e+00,2.01796152e+00,2.05948712e+00
2.24000000e+00,1.01998627e+00,1.61709428e+00,1.88674140e+00,1.99966013e+00,2.04447103e+00,1.04891703e+00,1.60152616e+00,1.88635352e+00,2.00096395e+00,2.04210268e+00
2.26000000e+00,1.01162362e+00,1.60373807e+00,1.87095356e+00,1.98288488e+00,2.02720928e+00,1.04031710e+00,1.58821952e+00,1.87055069e+00,1.98412276e+00,2.02488071e+00
2.28000000e+00,1.00330913e+00,1.59048617e+00,1.85530353e+00,1.96625984e+00,2.01010752e+00,1.03176858e+00,1.57501722e+00,1.85488636e+00,1.96743555e+00,2.00781864e+00
2.30000000e+00,9.95043397e-01,1.57733679e+00,1.83978724e+00,1.94978154e+00,1.99316096e+00,1.02327155e+00,1.56191821e+00,1.83935862e+00,1.95089999e+00,1.99091397e+00
2.32000000e+00,9.86827016e-01,1.56428850e+00,1.82440484e+00,1.93344951e+00,1.97637010e+00,1.01482606e+00,1.54892144e+00,1.82396557e+00,1.93451381e+00,1.97416427e+00
2.34000000e+00,9.78659749e-01,1.55134118e+00,1.80915380e+00,1.91726100e+00,1.95973063e+00,1.00643216e+00,1.53602590e+00,1.80870538e+00,1.91827477e+00,1.95756718e+00
2.36000000e+00,9.70541596e-01,1.53849268e+00,1.79403245e+00,1.90121496e+00,1.94324219e+00,9.98089895e-01,1.52323059e+00,1.79357626e+00,1.90218074e+00,1.94112039e+00
2.38000000e+00,9.62472737e-01,1.52574360e+00,1.77903807e+00,1.88530695e+00,1.92690170e+00,9.89799295e-01,1.51053452e+00,1.77857648e+00,1.88622960e+00,1.92482167e+00
2.40000000e+00,9.54452574e-01,1.51309049e+00,1.76417053e+00,1.86953807e+00,1.91070676e+00,9.81560375e-01,1.49793673e+00,1.76370433e+00,1.87041931e+00,1.90866883e+00
2.42000000e+00,9.46482241e-01,1.50053358e+00,1.74942756e+00,1.85390437e+00,1.89465511e+00,9.73373146e-01,1.48543627e+00,1.74895815e+00,1.85474788e+00,1.89265975e+00
2.44000000e+00,9.38560963e-01,1.48807132e+00,1.73480642e+00,1.83840477e+00,1.87874556e+00,9.65237604e-01,1.47303222e+00,1.73433631e+00,1.83921335e+00,1.87679236e+00
2.46000000e+00,9.30689156e-01,1.47570419e+00,1.72030723e+00,1.82303715e+00,1.86297512e+00,9.57153741e-01,1.46072367e+00,1.71983725e+00,1.82381384e+00,1.86106463e+00
2.48000000e+00,9.22866702e-01,1.46342802e+00,1.70592773e+00,1.80780053e+00,1.84734225e+00,9.49121536e-01,1.44850972e+00,1.70545942e+00,1.80854750e+00,1.84547462e+00
2.50000000e+00,9.15093482e-01,1.45124495e+00,1.69166684e+00,1.79269230e+00,1.83184552e+00,9.41140963e-01,1.43638950e+00,1.69120131e+00,1.79341253e+00,1.83002040e+00
2.52000000e+00,9.07369494e-01,1.43915296e+00,1.67752290e+00,1.77771139e+00,1.81648242e+00,9.33211986e-01,1.42436214e+00,1.67706144e+00,1.77840716e+00,1.81470010e+00
2.54000000e+00,8.99695218e-01,1.42715108e+00,1.66349399e+00,1.76285553e+00,1.80125213e+00,9.25334561e-01,1.41242681e+00,1.66303839e+00,1.76352970e+00,1.79951191e+00
2.56000000e+00,8.92070115e-01,1.41523790e+00,1.64957929e+00,1.74812329e+00,1.78615153e+00,9.17508639e-01,1.40058267e+00,1.64913075e+00,1.74877846e+00,1.78445405e+00
2.58000000e+00,8.84493768e-01,1.40341341e+00,1.63577735e+00,1.73351419e+00,1.77118003e+00,9.09734159e-01,1.38882890e+00,1.63533715e+00,1.73415182e+00,1.76952478e+00
2.60000000e+00,8.76967371e-01,1.39167631e+00,1.62208760e+00,1.71902561e+00,1.75633538e+00,9.02011059e-01,1.37716472e+00,1.62165626e+00,1.71964819e+00,1.75472243e+00
2.62000000e+00,8.69489849e-01,1.38002586e+00,1.60850751e+00,1.70465672e+00,1.74161720e+00,8.94339266e-01,1.36558933e+00,1.60808675e+00,1.70526601e+00,1.74004534e+00
2.64000000e+00,8.62061799e-01,1.36846173e+00,1.59503567e+00,1.69040561e+00,1.72702146e+00,8.86718702e-01,1.35410196e+00,1.59462736e+00,1.69100377e+00,1.72549191e+00
2.66000000e+00,8.54683042e-01,1.35698223e+00,1.58167338e+00,1.67627156e+00,1.71254742e+00,8.79149283e-01,1.34270185e+00,1.58127683e+00,1.67685999e+00,1.71106057e+00
