D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
2.30000000e+00,6.12190082e-01,6.01868834e-01,1.54321979e+00,1.48928720e+00,2.24982053e+00,2.15427737e+00,2.58492392e+00,2.56457551e+00,2.71265316e+00,2.82501230e+00
2.32000000e+00,6.00874840e-01,5.90668224e-01,1.51373699e+00,1.46058589e+00,2.20577460e+00,2.11411261e+00,2.53371225e+00,2.52072468e+00,2.65866181e+00,2.77985714e+00
2.34000000e+00,5.89761379e-01,5.79666826e-01,1.48483602e+00,1.43247654e+00,2.16265373e+00,2.07484350e+00,2.48360608e+00,2.47785558e+00,2.60584804e+00,2.73569930e+00
2.36000000e+00,5.78846275e-01,5.68861347e-01,1.45650427e+00,1.40494589e+00,2.12043531e+00,2.03644621e+00,2.43457710e+00,2.43594048e+00,2.55418117e+00,2.69251019e+00
2.38000000e+00,5.68126160e-01,5.58248543e-01,1.42872942e+00,1.37798102e+00,2.07909744e+00,1.99889763e+00,2.38659793e+00,2.39495257e+00,2.50363156e+00,2.65026220e+00
2.40000000e+00,5.57597717e-01,5.47825214e-01,1.40149949e+00,1.35156931e+00,2.03861886e+00,1.96217541e+00,2.33964205e+00,2.35486599e+00,2.45417050e+00,2.60892873e+00
2.42000000e+00,5.47257681e-01,5.37588208e-01,1.37480280e+00,1.32569848e+00,1.99897895e+00,1.92625786e+00,2.29368377e+00,2.31565574e+00,2.40577025e+00,2.56848410e+00
2.44000000e+00,5.37102840e-01,5.27534417e-01,1.34862796e+00,1.30035652e+00,1.96015770e+00,1.89112399e+00,2.24869822e+00,2.27729768e+00,2.35840392e+00,2.52890350e+00
2.46000000e+00,5.27130031e-01,5.17660780e-01,1.32296388e+00,1.27553174e+00,1.92213570e+00,1.85675346e+00,2.20466132e+00,2.23976848e+00,2.31204550e+00,2.49016301e+00
2.48000000e+00,5.17336142e-01,5.07964280e-01,1.29779972e+00,1.25121271e+00,1.88489412e+00,1.82312654e+00,2.16154972e+00,2.20304559e+00,2.26666979e+00,2.45223952e+00
2.50000000e+00,5.07718109e-01,4.98441944e-01,1.27312494e+00,1.22738829e+00,1.84841464e+00,1.79022411e+00,2.11934077e+00,2.16710720e+00,2.22225240e+00,2.41511070e+00
2.52000000e+00,4.98272920e-01,4.89090844e-01,1.24892925e+00,1.20404762e+00,1.81267950e+00,1.75802763e+00,2.07801256e+00,2.13193224e+00,2.17876967e+00,2.37875499e+00
2.54000000e+00,4.88997608e-01,4.79908094e-01,1.22520262e+00,1.18118009e+00,1.77767144e+00,1.72651912e+00,2.03754379e+00,2.09750030e+00,2.13619869e+00,2.34315154e+00
2.56000000e+00,4.79889255e-01,4.70890852e-01,1.20193524e+00,1.15877533e+00,1.74337369e+00,1.69568113e+00,1.99791382e+00,2.06379166e+00,2.09451724e+00,2.30828019e+00
2.58000000e+00,4.70944989e-01,4.62036319e-01,1.17911756e+00,1.13682324e+00,1.70976996e+00,1.66549676e+00,1.95910265e+00,2.03078724e+00,2.05370377e+00,2.27412148e+00
2.60000000e+00,4.62161985e-01,4.53341738e-01,1.15674027e+00,1.11531397e+00,1.67684440e+00,1.63594958e+00,1.92109082e+00,1.99846854e+00,2.01373739e+00,2.24065656e+00
2.62000000e+00,4.53537464e-01,4.44804391e-01,1.13479426e+00,1.09423787e+00,1.64458161e+00,1.60702366e+00,1.88385949e+00,1.96681770e+00,1.97459783e+00,2.20786720e+00
2.64000000e+00,4.45068690e-01,4.36421605e-01,1.11327065e+00,1.07358556e+00,1.61296663e+00,1.57870356e+00,1.84739034e+00,1.93581738e+00,1.93626542e+00,2.17573579e+00
2.66000000e+00,4.36752973e-01,4.28190745e-01,1.09216077e+00,1.05334785e+00,1.58198489e+00,1.55097425e+00,1.81166557e+00,1.90545082e+00,1.89872106e+00,2.14424525e+00
2.68000000e+00,4.28587667e-01,4.20109218e-01,1.07145617e+00,1.03351579e+00,1.55162223e+00,1.52382116e+00,1.77666793e+00,1.87570178e+00,1.86194624e+00,2.11337906e+00
2.70000000e+00,4.20570168e-01,4.12174470e-01,1.05114856e+00,1.01408062e+00,1.52186486e+00,1.49723016e+00,1.74238063e+00,1.84655451e+00,1.82592294e+00,2.08312125e+00
